text,Irrelevant to Covid-19 vaccination intention and confidence,Intent to accept Covid-19 vaccination,Intent to reject Covid-19 vaccination,Belief that Covid-19 vaccine is effective,Belief that Covid-19 vaccine is not safe,Confidence in Covid-19 vaccine R&D and introduction,Distrust in government,Misinformation or rumors on vaccines
And the good news is here!  India is ready to launch it's 1st covid vaccine #COVAXIN by 15th Augest.,0,1,0,0,0,1,0,0
Democratic group warns that the U.S. is unprepared to distribute a Covid-19 vaccine  via,1,0,0,0,0,0,0,0
QT: This is a real tweet ; Let me reiterate: There is no vaccine for COVID-19. There is no cure and there is no proven therapy. The only thing that works is to not get it. Period. Full stop.,0,0,0,0,0,0,0,0
"QT: If wonder woman was a scientist... ; NEW COVER: Oxfords Covid-19 vaccine, devised by Sarah Gilbert, is in human trials. AstraZeneca has lined up agreements to produce 2 billion doses. Now the world waits",0,1,0,0,0,1,0,0
Race for COVID-19 Vaccine Boosts Real Estate in Life Sciences Hubs  via,1,0,0,0,0,0,0,0
"Russian hackers feverishly working to steal COVID-19 vaccine research, governments say",1,0,0,0,0,0,0,0
QT: Hum Honge Kamyab Ek Din....Tab tak bhagwan bharose !!! ; I hear we are reverse engineering a #Covid vaccine in India? We picked announcement date first. Bas ab vaccine banana (not fruit) baaki hai. ,0,1,0,0,0,1,0,0
"Baba Einstein Dev awarded GOBel prize for covid19 vaccine CHORonil . #Ramdev invented #coronil #Ayush denies claims of #patanjali Jo na maar sake Corona, usko maarega #Coronil",1,0,0,0,0,0,0,0
QT: RT: I see what theyre tryna do   ; BREAKING: Black and minority ethnic groups could be among first to get coronavirus vaccine,0,0,1,0,0,0,0,0
"Bill Gates warns that multiple doses of any coronavirus vaccine may be necessary, schools could be closed until fall 2021 and says 'serious mistakes were made' by the US with the handling of COVID-19",1,0,0,0,0,0,0,0
Adamfoxie blog International: Early Results on COVID-19 Vaccine shows an Immune Response ...,1,0,0,0,0,0,0,0
"QT: They really see Africans as disposable ; China pledges to avail any successful #COVID19?vaccine to African countries first, Chinese President #XiJinping said at China-Africa summit on solidarity against COVID-19 on Wed.",0,0,0,0,1,0,0,0
"In a dismal year for most companies, a minority have shone: pharmaceutical groups boosted by their hunt for a Covid-19 vaccine; technology giants buoyed by the trend for working from home; and retailers offering lockdown necessiti",0,0,0,0,0,0,0,0
"India will have 2 million Covid-19 patients on August 15. That's d day Fraud-Modi will fraudulently announce d readiness of Covid19 vaccine by India. He'll say go to d nearest-ModiCARE hospital to get the vaccine on Aug 15. & by Aug 31, India'll hv 3 million cases. bajao thaali",0,0,0,0,0,0,1,0
"QT: We are all dying then ; A COVID-19 vaccine will only work if trials include Black participants, experts say.",1,0,0,0,0,0,0,0
"QT: This is one for to critique from a post-Lacan perspective... ; COVID-19 Vaccine Drama in Development at HBO, Adam McKay to Produce",1,0,0,0,0,0,0,0
"QT: RT: Amazing work. ; NEWUKs #COVID19 vaccine is safe and induces an immune reaction, according to preliminary results",0,1,0,1,0,1,0,0
QT: Fk that shite ... No sane person would put something into their bodies that is only 50% effective ; FDA Chief: COVID Vaccine Must Be At Least 50% Effective To Be Approved  #OANN,0,0,1,0,0,0,0,0
Moderna says its coronavirus vaccine trial produced 'robust' immune response in all patients      ,1,0,0,0,0,0,0,0
"QT: Je crois il vous parle l¡§¡è ; VIDEO: Philanthropist and Microsoft founder Bill Gates calls for any future COVID-19 vaccine to be distributed based on equity, warning that selling drugs to the highest bidder would lead to a longer, more injust, deadlier pandemic",1,0,0,0,0,0,0,0
Prognosis The First Covid Vaccines May Not Prevent Covid Infection,1,0,0,0,0,0,0,0
COVID-19 vaccine the university is developing in partnership with AstraZeneca plc.1 Oxfords ChAdOx1 nCov-19 (chimpanzee adenovirus Oxford 1 novel coronavirus-19) recombinant vaccine is made from a genetically modified adenovirus that infects chimpanzees used as a viral 3,1,0,0,0,0,0,0,0
The H1N1 vaccine in 2009 caused brain damage to millions of people. Some of the procedures leading up to that vaccine's roll out (below) are being replicated with the fast tracked covid vaccine.... Those who do not learn from history are doomed to repeat it.,0,0,0,0,1,0,0,1
"Good Reasons to Vaccinate: COVID19 Vaccine, Mandatory or Payment Model? By #COVID19 #Bioethics",1,0,0,0,0,0,0,0
"Ok, so what ya'll want me to do with this information? Shop or prepare for the Apocalypse?  First Covid-19 Vaccines May Not Prevent Coronavirus Infection - There will never be a truly perfect vaccine, expert says",0,0,0,0,0,0,0,0
Coronavirus vaccine: UK signs deals for 90 million doses - Covid-19: Top...  via,1,0,0,0,0,0,0,0
Pfizer lays out COVID-19 vaccine commercial strategy for pandemic and beyond,1,0,0,0,0,0,0,0
"Clearly There Will Be Multiple Vaccines & Therapies, But Here's The Official Leader In The COVID-19 Vaccine Race Click here to learn more:  $azn $mrna $nvax #coronavirus #news #covid19",0,1,0,0,0,1,0,0
"QT: #TraitorInChief #PutinsPuppet ; 25 days ago, the news broke that Putin reportedly put bounties on the heads of our troops. Last week, we learned that Russian hackers may be trying to steal #COVID19 vaccine research. And Trump has said nothing to tell Russia to stop. Why?",0,0,0,0,0,0,1,0
QT: Why shit won't be sweet for a minute even if we do get a vaccine to get the necessary components required is gonna be a monster ; NEW: The U.S. will need hundreds of millions of syringes & needles next year for a likely unprecedented COVID vaccination effort. The Trump admin is largely relying on two small companies with little track record of fulfilling gov orders of that size.,0,0,1,0,1,0,1,0
Experimental coronavirus vaccine is safe and produces immune response,1,0,0,0,0,0,0,0
#Modern gets additional $472 million from US for #Covid19 vaccine trial  #covid19 #CoronavirusIndia,1,0,0,0,0,0,0,0
"Johns Hopkins Experts Address COVID-19 Vaccine Challenges, Realistic Timelines",1,0,0,0,0,0,0,0
"QT: The Government doesnt need to microchip anyone, they have our phones. I give up. ; so today i heard that if you dont have covid and you get tested, they literally put the virus on the swab they test you with to infect you. the goal is to have everyone positive so were forced to get the covid-19 vaccine (which will have a microchip in it)",0,1,0,0,0,0,0,1
Fauci says Covid-19 vaccine might not get us the herd immunity we need,1,0,0,0,0,0,0,0
Russias Elite Have Getting a Secret Test Coronavirus Vaccine for Months - The Daily Beast,1,0,0,0,0,0,0,0
QT: Pran jaaye par vachan naa jaaye. ¨¢? ; Coronavirus: UK opts out of EU Covid-19 vaccine scheme,1,0,0,0,0,0,0,0
QT:  ; Johnson & Johnson starts human safety trial for its COVID-19 vaccine candidate,1,0,0,0,0,0,0,0
There has been positive news so far this week on the development of a #COVID19 #vaccine. **When do you think a working COVID-19 vaccine will be available?**,0,0,0,0,0,0,0,0
"¡ãPicturing the quest for a Covid vaccine as a ¡ãrace¡À may be misleading. This isn't actually a quick sprint, this is a marathon.¡À",0,0,0,0,0,0,0,0
QT: excellent summary of Covid-19 vaccines in late stage trials stresses the dangers of cutting corners in vaccine research ; Results of coronavirus vaccine trials call for cautious optimism,0,0,0,0,1,0,0,0
"QT: The Oxford vaccine is safe and immunogenic. Now we need to know how effective it will be in reducing the risk of contracting COVID ; The phase 1/2 Oxford COVID-19 vaccine trial is now published. The vaccine is safe, well-tolerated, and immunogenic. Congratulations to Pedro Folegatti and colleagues. These results are extremely encouraging.",0,1,0,0,0,1,0,0
Chinese COVID-19 Vaccine Phase 2 Trial Results: Safe and Induces an Immune Response -,1,0,0,0,0,0,0,0
How #COVID19 vaccine should be priced ?,0,0,0,0,0,0,0,0
Jim Cramer: A better way to invest in the Covid-19 vaccine gold rush,1,0,0,0,0,0,0,0
"QT: This guy makes me shiver, thank heavens for Dr Judy Mikovits ; If you think that vaccine ability to make a disease worse is something made up by antivaxxers, listen to Dr. Fauci talking about vaccine virus enhancement:  Virus enhancement is a stumbling block for the #coronavirus vaccine.",0,1,0,0,0,0,0,0
QT: NO WE WONT. ; BREAKING: Black and minority ethnic groups could be among first to get coronavirus vaccine,0,0,1,0,0,0,0,0
QT: Great discussion following on from yesterdays sessions. Good to hear mention the significant issue of COVID19 vaccine misinformation in Africa and the need for community and public engagement alongside issues of development and access. ; Delighted to start day 2 of our virtual conference - Africa's Leadership in COVID-19 Vaccine Development and Access - with a discussion on the role of the private sector in #COVID19 vaccines development and access in #Africa. Join here:,1,0,0,0,0,0,0,0
"QT: RT: As if the #poliovaccine hasnt done enough damage ; As the world races to produce an effective Covid-19 vaccine, some experts are turning their attention to a polio vaccine as a way to provide temporary protection against coronavirus",0,0,0,0,1,0,0,1
Russia claims it will approve coronavirus vaccine in 2 weeks.,1,0,0,0,0,0,0,0
#India's Race for the #COVID19 vaccine and why the #IndiaChinaBorderTension could not have come at a worse time. #india #COVID19 #COVID`19 #CoronavirusIndia,1,0,0,0,0,0,0,0
"I wear an N95 for up to 16hrs/day working on a covid vaccine. Its uncomfortable, painful on back to back days, & affects my job bc I have to take a day break before filming to let this fade. My point? Its doable. & that wearing 1 for an hour to the grocery store is EASY. DO IT.",0,0,0,0,0,0,0,0
"Coronavirus vaccine deals expose lack of global co-ordination- ¡ãIn the future, we need a better system¡À true dat when it comes to #vaccines for #globalhealthsecurity",0,1,0,0,0,0,0,0
PATRIOTS ALERT: ANTI-VAXXERS ARE THE PROBLEM!!! Fauci: Coronavirus Vaccine Unlikely To Achieve Herd Immunity Because Of Anti-Vaxxers,0,1,0,0,0,0,0,1
"Six months ago, Novavaxs hol?i?day party was pizza and coke in a con?fer?ence room. Today, the company is awash in cash and working toward a coronavirus vaccine. Inside the company and a huge payout for one investor. By ?",0,0,0,0,0,0,0,0
China leads COVID-19 vaccine race,1,0,0,0,0,0,0,0
"QT: RT: Finally some Good News arises for Everyone hope this will be successful and our India will be back on normal life  # ; COVAXIN?, India's 1st indigenous Covid-19 vaccine, developed by Bharat Biotech successfully enters human trials. #BharatBiotech #COVAXIN #covid19 #Collaboration #Indiafightscorona #makeinindia #ICMR #coronavirusvaccine",0,1,0,1,0,1,0,0
Russias Sechenov univ reportedly claims to have completed tests of worlds first covid vaccine !,1,0,0,0,0,0,0,0
"QT: I cant be the only one unsettled by this.. South Africa and Brazil ; South Africa started a #Covid19 vaccine trial on Wednesday, the first such study in Africa. Oxford University developed the vaccine, which is being trialed in the U.K., South Africa and Brazil",0,0,0,0,0,0,0,0
"Brazil, a COVID-19 vaccine battleground ",1,0,0,0,0,0,0,0
"It was a WhatsApp forward, and not an official email, that alerted one of the scientists  who will run human trials for India's Covid vaccine 'Covaxin' to ICMR's plans to fast track the process.",1,0,0,0,0,0,0,0
FDA commissioner on developing COVID-19 vaccine,1,0,0,0,0,0,0,0
"Chinese Cybercriminals Targeted COVID-19 Vaccine Research, Hacked Several Firms, Defence Contractors...",1,0,0,0,0,0,0,0
5 sites in India ready for final phase of human trials of Oxford COVID-19 vaccine  -via,1,0,0,0,0,0,0,0
QT: It's scary either way vaccine or virus? No? ; 'I am very scared of an experimental vaccine' - readers on the pros and cons of a Covid-19 vaccine,0,0,0,0,1,0,0,0
"QT: Why are anti vaxxers protesting they should be happy we dont have a vaccine for Covid 19. Fucking idiots ; Anti-vaxxers have arrived, protesting 5G, the New World Order, and racism (?)",0,1,0,0,0,0,0,1
QT: #TruthFreedomHealth fyi my understanding is that 1) what we need is a healthy #ImmuneSystem to prevent illness 2) a virus cant enter the person other than by injection or blood transfusion? please comment ? #COVID`19 ; UK population to be vaccinated Weve secured early access to 90 million doses of promising coronavirus vaccine,1,0,0,0,0,0,0,0
"QT: uhhh what's happening in the news that i can shed 0 light on? covid? epstein? economic despair? - adam mckay struggling to maintain relevance ; COVID-19 Vaccine Drama in Development at HBO, Adam McKay to Produce",1,0,0,0,0,0,0,0
QT: RT: Nah test that shit out on yourselves ; BREAKING: Black and minority ethnic groups could be among first to get coronavirus vaccine,0,0,1,0,0,0,0,0
"QT: #WHOisWHO this is the first answer to your failure. ; Coronavirus vaccine developed by Oxford University appears safe and trains the immune system, key early trials show",0,1,0,1,0,1,0,0
Global Update Dow climbed 227.51 points The S&P 500 gained 0.91% The Nasdaq Composite advanced 0.59% Wall Street got a boost from positive coronavirus vaccine news out of Moderna as well as strong Goldman Sachs earnings. #awaazmarkets,1,0,0,0,0,0,0,0
"QT: Foh the body heals itself, I'm straight ; Oxfords Covid-19 vaccine produces a good immune response, reveals new study. Teams at and have found there were no safety concerns, and the vaccine stimulated strong immune responses:",0,0,0,0,0,0,0,0
"QT: Hahaha ; Stokes gets the breakthroughs too. I think he is being wasted on a cricket ground. In this form, he'll probably find a vaccine for Covid!",1,0,0,0,0,0,0,0
#Covid19 vaccine could be available by early next year: Parliamentary panel told,1,0,0,0,0,0,0,0
QT: It is for your Safety as we journey into the dangerous world of the New Normal. Remember at all times to OBEY and follow the yellow brick road built by your loving politicians. ; Anyway whos ready for this fast tracked covid vaccine? I think the most exciting part is getting an untested vaccine that contains aborted fetal DNA its like we are pioneers of the scientific future .,0,1,0,1,0,1,0,0
Experts Urge Feds To Approve Domestic COVID Vaccine Funding Amid China Delays,1,0,0,0,0,0,0,0
"QT: When she is not tweeting about how we should all wear masks. #BillGates says so and hes also profiting from the COVID vaccine, the contact tracing AND has a hard-on for population control AND a history of poisoning Black and Brown People, shes NOT concerned. Nothing to report. ; She tweeted this out to show she is a serious journalist willing to tackle systemic racism with her reporting. #Booker4KY",0,0,0,0,1,0,0,1
QT: RT: Whereas T-cells protect you for decades. Get the virus in summer when your immunity is at its highest. Dump the masks. ht ; AstraZeneca COVID-19 vaccine likely to protect for a year - CEO,0,0,0,0,0,0,0,0
"QT: Anyone with any sense won't be taking it , for goodness sake it takes longer than a few months to develop a vaccine .... unless this pandemic was planned by Big Pharma to reap rewards of a CURE ............ ? ; Enough coronavirus vaccine doses for everyone in UK 'in first half of next year' if trials succeed, research chief says.",0,0,1,0,1,0,0,0
"QT:  I do not think those words mean what he thinks they mean  ; Fauci: If a Large Number of People Refuse COVID-19 Vaccine, We Will Not Achieve Herd Immunity (VIDEO)",0,0,0,0,0,0,0,0
COVID-19 vaccine clears key hurdle,1,0,0,0,0,0,0,0
QT:  ; I wiill not get the COVID-19 vaccine. I repeat. I will not get the COVID-19 vaccine!!! No way Jose!!! Whos with me !,1,0,0,0,0,0,0,0
 any COVID vaccine update from MRK?,1,0,0,0,0,0,0,0
Big Hollywood wont tell you that Tenet is directly related to the coronavirus vaccine,1,0,0,0,0,0,0,0
"COVID VACCINESWILL YOU QUALIFY FOR PRIORITY ACCESS? As health experts continue to get closer to creating a vaccine for COVID-19, Americans are starting to wonder who will be first in line to receive one.",0,1,0,0,0,1,0,0
"QT: there is no way in hell Im putting this in my body, it takes around 5-10 years to develop a new vaccine. You got to proerly conduct research and trails to to then start administering it wide-scale, so something is very off here. ; #BREAKING: U.S. Department of Health and Human Services and the Department of Defense announce a pact with Pfizer for 100 million doses of a Covid-19 vaccine after approval. Americans will receive the vaccine for free. MORE:  #KOMONews",0,0,1,0,1,0,0,0
 is looking for healthy volunteers to take part in a COVID-19 vaccine trial involving 11 visits to a West London facility over 12 months.,1,0,0,0,0,0,0,0
"QT: Torcer pra dar 100% certo agora n¡§, not¡§cia boa ; Coronavirus vaccine developed by Oxford University appears safe and trains the immune system, key early trials show",0,1,0,0,0,1,0,0
QT: ¨¢? ; JUST IN: Oxford Universitys coronavirus vaccine with AstraZeneca shows a positive immune response in an early trial. has the details.,1,0,0,0,0,0,0,0
Covid vaccine #Covid_19 taking it yes or no?,1,0,0,0,0,0,0,0
"MEDICINE: Oxford's coronavirus vaccine is 'absolutely on track', according to the Chairman of the Berkshire Research Ethics Committee, which approved the trial. #News #Economy #Politics",1,0,0,0,0,0,0,0
QT: RT: Bill Gates is being found out. Make sure you RT this one. #TheGreatAwakening #CovidHoax  ;  asks about the crazy conspiracy theories that suggest Bill wants to create a COVID vaccine that will chip ppl.,0,0,1,0,0,0,0,1
CNBC: Moderna CEO sees 'high probability' of success with Covid-19 vaccine,1,0,0,0,0,0,0,0
Africa urges no 'obstacles' to a COVID-19 vaccine for all - ABC News,1,0,0,0,0,0,0,0
U.S. to Fund Testing for 3 COVID-19 Vaccine Candidates,1,0,0,0,0,0,0,0
"Cozy Bear: Russia is attempting to steal coronavirus vaccine data, western nations say Russian hackers are attempting to steal coronavirus vaccine research, the U.S., British and Canadian governments said Thursday, accusing the Kremlin of opening a new",1,0,0,0,0,0,0,0
"QT: Make it before October please, need it for my $LUV $DAL calls! Thanks ; U.S PRESIDENT TRUMP SAYS VACCINE FOR CORONAVIRUS WILL BE READY AND WILL BE DELIVERED IN RECORD BREAKING TIME",0,1,0,0,0,1,0,0
"QT: A FREE vaccine by the end of the year provided through Pfizer and created by BioNTech. Feel like I've read a dig on that co. before.  ; BREAKING: Trump Admin Secures Up To 600M Coronavirus Vaccine Doses With Pfizer, Free To Americans",0,1,0,0,0,1,0,0
QT: fuck You and Your  People wake up !!! Big Pharma scam ; Are you getting it yet? AstraZeneca to be exempt from coronavirus vaccine liability claims in most countries,0,0,1,0,0,0,0,0
Guess after 3 to 6 months we will have 4 different options of Covid Vaccine to chose from. The branding will be Reliance Covid Kar lo Jindagi Mutthi mai Modi Covid .... Modi hai to munkin hai Trump Covid... Make Trump Elect Again #CovidVaccineRace,0,1,0,0,0,1,0,0
"QT: ¡ãThe primary benefit of vaccination will be to prevent severe disease,¡À.... A COVID-19 vaccine is unlikely to achieve what scientists call ¡ãsterilizing immunity,¡À which prevents disease altogether.¡À Also: 20% of Americans say theyll reject it; 31% arent sure. So thats cool. ; This is very useful information.",0,0,0,0,0,0,0,0
"Japan gov't may prioritize medical workers, elderly for coronavirus vaccine (7/6 Mainichi)",1,0,0,0,0,0,0,0
QT: Its a strong no from me dawg. ; BREAKING: Black and minority ethnic groups could be among first to get coronavirus vaccine,0,0,1,0,0,0,0,0
"QT: Can't help but wonder if this is another bogus expenditure. And can't help but wonder if Barron was given the task of naming the operation...Warp Speed. ; One of the frontrunners in the race to develop a coronavirus vaccine, Novavax Inc., will receive $1.6 billion from the govts Operation Warp Speed program. Will allow the company to conduct advanced human studies.",0,0,0,0,0,0,1,0
US coronavirus vaccine poised for final testing: Live updates,1,0,0,0,0,0,0,0
QT: The role of #blockchain in delivering a #Covid19 vaccine... Find out more on how Blockchain + distributed ledger technology will be essential for an equitable COVID-19 vaccine distribution >>>> #fintech #esg #greenfuture #technology #innovation ; Blockchain's potential role in the history-making plan to deliver the COVID-19 vaccine,1,0,0,0,0,0,0,0
"Russian COVID-19 vaccine approval imminent, source says",1,0,0,0,0,0,0,0
"Coronavirus Vaccine Human Trial Begins, Result In 3 Months: AIIMS Head",1,0,0,0,0,0,0,0
Would you participate in a Phase III trial for a COVID vaccine?,1,0,0,0,0,0,0,0
Russian uni says it made world's 1st safe COVID-19 vaccine See more on,1,0,0,0,0,0,0,0
"QT: Great news. Now stop & ask yourself if you want Trump responsible for #vaccine production and distribution. He lacks the skill to manage it efficiently, he lacks character to manage it equitably, he lacks diplomacy to partner with other nations to produce it at the scale needed. ; EXCELLENT News: Oxford/AstraZeneca COVID vaccine could be here by Oct! Phase 3 testing in 1000s of humans Projected to be 80% effective in preventing severe disease Pledged to produce 2 billion doses THIS YEAR! Feeling good. Thisis not false hope:)",0,1,0,1,0,1,1,0
"QT: Makes sense, giving priority to vulnerable groups who are disproportionately affected by Covid ; BREAKING: Black and minority ethnic groups could be among first to get coronavirus vaccine",0,1,0,0,0,0,0,0
"QT: Russia has a growing list of its own vaccine efforts, and if they are indeed the naughty meddlers we know they can be, then oh well...big surprise. Who wants to answer why China isn't on that list? ; LONDON (AP) -- Britain, the United States and Canada say Russia is trying to steal information from COVID-19 vaccine researchers.",0,1,0,0,0,1,0,0
So ya gonna get this COVID vaccine?,1,0,0,0,0,0,0,0
"Second COVID-19 Vaccine Cleared For Phase I, II Human Trials In India  via",1,0,0,0,0,0,0,0
"QT: Let me guess, they only want blacks who support ; A COVID-19 vaccine will only work if trials include Black participants, experts say.",0,0,0,0,0,0,1,0
"QT: RT: now why the fuck i got so many mutuals with this dumb ass girl ; so today i heard that if you dont have covid and you get tested, they literally put the virus on the swab they test you with to infect you. the goal is to have everyone positive so were forced to get the covid-19 vaccine (which will have a microchip in it)",0,1,0,0,0,0,0,1
 I am worried that we don't even have any infrastructure to provide citizens with covid vaccine whenever it comes. There will be a chaos. Request you to chalk a plan so that process is smooth one.,0,1,0,0,0,0,0,0
Send Ben Stokes to a lab and he can invent a COVID-19 vaccine! INCREDIBLE fella! #ENGvWI #T20WorldCup,1,0,0,0,0,0,0,0
"QT: Leading virologist and our past Covid Livestream Q&A panelist on  ; If we get a coronavirus vaccine, will enough people be willing to take it? says ¡ãpeople are very anxious and some of the rumors were sparked by this warp-speed [development] We need to communicate better. Why is it faster? The reasons are actually good ones.¡À",1,0,0,0,0,0,0,0
"QT: Yeah fuck you ; A COVID-19 vaccine will only work if trials include Black participants, experts say.",0,0,1,0,0,0,0,0
"QT: Promising  ; Coronavirus vaccine developed by Oxford University appears safe and trains the immune system, key early trials show",0,1,0,1,0,1,0,0
"Pease educate me on my opinion? Are they testing on poor ppl with few rights? If they die, were they paid chump change and signed nondisclosure agreements? First Human Trials Of The COVID-19 Vaccine Start In Africa! -  via #WSHH #WORLDSTAR",0,0,0,0,1,0,0,0
But. There are 328+ million of us... Novavax Gets $1.6 Billion for Coronavirus Vaccine From Operation Warp Speed,0,1,0,0,0,0,0,0
"QT: ? AGORA PORRA  ; Coronavirus vaccine developed by Oxford University appears safe and trains the immune system, key early trials show",1,0,0,0,0,0,0,0
"Lasting #pandemic impacts on society, from restaurants and renewables to robots; lowering expectations for a #COVID19 vaccine, athletics, and public trust of #highered; new web tools from and; and more! #cdnPSE #pseweb",0,0,0,0,0,0,0,0
"Speaking of #clinicaltrial accrual ... We need this same sense of urgency for all of our cancer #clinicaltrials More than 100,000 have signed up for coronavirus vaccine testing",1,0,0,0,0,0,0,0
"QT: Yes Im with you brother  ; Without a doubt they are going to shame, pressure & even threaten careers of anyone who doesnt get in line for the Covid19 vaccine. Im not getting in line for it. Ever. If that means I cant fly, attend concerts, go to certain schools or restaurants, so be it.",0,0,1,0,0,0,0,0
"QT: .     -  Is the clinical trials for this Vaccine being speeded up only to save patients of -  #JustAsking  #coronavirus ; ICMR has written to 12 major hospitals across 10 states in India, asking them to fast track clinical trials approvals for a #COVID19 vaccine candidate #COVAXIN, developed by. #COVIDVACCINE",0,0,0,0,0,0,0,0
"Coronavirus vaccine: Oxford vaccine human trials will begin next month in India, vaccine may be prized at ?1,000 per dose",1,0,0,0,0,0,0,0
GSK buys ?130m stake in German coronavirus vaccine maker -,1,0,0,0,0,0,0,0
"Novavax Rose 33% Due to $1.6 Billion COVID-19 Funding ¡ãToday at 9:08 AM ET, Novavax $NVAX stock rose 32.7% to $105.19 in the pre-market session. The company received $1.6 billion for its COVID-19 vaccine candidate.¡À #novavax #covid19 #vaccine",1,0,0,0,0,0,0,0
"As the hope of a coronavirus vaccine increases, we need to consider how to tackle conspiracy theories and the 'virus of fake news', says. via",1,0,0,0,0,0,0,0
First human trial of AstraZeneca COVID-19 vaccine shows promise,1,0,0,0,0,0,0,0
"QT: Please do it quickly as it possibly..its so difficult to live now.. ; Oxfords Covid-19 vaccine produces a good immune response, reveals new study. Teams at and have found there were no safety concerns, and the vaccine stimulated strong immune responses:",0,1,0,1,0,1,0,0
QT: Moderna $MRNA Covid-19 Vaccine Produced Antibodies in Initial Study - Bloomberg ; $MRNA the Food and Drug Administration is fast tracking its experimental preventative COVID-19 vaccine through the regulatory process.,1,0,0,0,0,0,0,0
"Coronavirus vaccine WILL give long-term protection says Oxford study chief. Concerns had been raised after those with other types of coronavirus ¡§C which are less dangerous and cause the common cold ¡§C were able, in tests, to be reinfected within a year",0,1,0,1,0,1,0,0
